touches_per_day,session_count
0,2
15,2
19,1
20,1
25,2
27,1
32,1
35,1
41,2
42,1
43,1
44,1
49,1
52,2
53,1
55,2
57,2
59,1
60,2
61,1
62,1
64,1
65,3
67,1
69,1
70,2
71,1
72,1
75,2
76,1
78,1
79,1
80,1
81,3
82,4
83,1
84,3
87,1
88,1
90,2
91,1
93,1
94,1
95,1
96,1
98,3
99,2
105,1
112,1
119,1
122,2
134,1
138,1
141,1
152,1
177,1
