touches_per_day,session_count
0,1
13,1
32,1
33,1
34,1
38,1
40,1
44,1
50,1
53,1
55,1
57,2
61,2
66,1
67,1
70,1
72,2
75,1
77,2
78,1
79,1
81,1
83,2
86,1
87,1
89,2
94,1
95,1
104,1
107,1
108,1
115,2
117,1
120,1
122,1
123,1
131,1
134,1
141,1
161,1
165,1
166,1
172,1
192,1
238,1
243,1
456,1
511,1
