touches_per_day,session_count
0,3
14,1
19,1
24,1
25,1
26,1
28,1
31,1
32,1
33,2
37,1
38,1
39,1
42,1
44,1
46,1
51,2
53,1
55,1
56,2
60,2
61,1
62,1
63,1
64,2
65,1
66,1
67,2
68,2
69,2
70,3
72,2
73,1
74,1
77,1
80,1
81,3
82,1
83,1
86,2
87,2
90,1
91,1
94,1
95,1
99,1
100,2
101,1
103,1
104,2
110,1
112,1
114,1
115,1
132,1
134,1
148,1
149,1
161,1
164,1
166,1
167,1
