session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2025-09-14,52.546212,80.578836,94.455251,2.406743
2025-09-15,147.750548,98.849848,3.344872,5.874455
2025-09-16,99.719404,78.280596,5.064774,3.975891
2025-09-17,604.141604,609.290904,2.558202,4.377017
2025-09-18,97.957540,177.233232,5.830206,2.473862
2025-09-19,200.542356,40.846628,2.546584,6.566479
2025-09-21,97.827028,86.648648,3.765374,3.240743
2025-09-22,89.216392,103.186420,2.074437,2.655620
2025-09-23,194.297932,206.702068,7.380615,7.851799
2025-09-24,208.923384,122.832540,3.138740,2.530457
2025-09-25,323.159152,335.516584,1.900222,9.560361
2025-09-26,131.499264,113.783340,2.581135,14.193601
2025-09-28,163.320732,61.454740,2.159348,5.056224
2025-09-29,93.421336,204.989308,2.414303,2.807092
2025-09-30,326.609708,192.170220,1.969120,1.247962
2025-10-01,208.665020,108.842168,3.794557,8.618248
2025-10-02,197.537932,129.332744,3.979778,3.285085
2025-10-03,311.033272,255.394824,8.353428,5.233401
2025-10-05,136.997908,87.254088,1.890173,26.456635
2025-10-06,91.522468,316.427716,2.738283,2.557470
2025-10-07,171.920372,128.116348,2.810660,11.228635
2025-10-08,339.259184,59.890412,2.734462,1.488204
2025-10-09,399.720748,139.948520,2.368809,4.748905
2025-10-10,264.176700,1594.259924,10.505758,3.283786
2025-10-12,408.017532,697.000000,2.167033,
2025-10-13,458.838516,156.102224,4.098345,2.980144
2025-10-14,212.850336,650.149664,0.892162,2.725103
2025-10-15,361.148504,438.163476,2.442981,5.222006
2025-10-16,326.230340,528.435448,1.681949,2.219293
2025-10-17,326.381024,316.270096,1.955476,8.296414
2025-10-19,149.222520,248.599480,1.274650,1.898330
2025-10-20,96.761680,133.143892,2.125534,2.743505
2025-10-21,113.607240,274.686656,6.379874,3.754054
2025-10-22,530.944068,285.396220,2.153390,22.852773
2025-10-23,159.551436,191.951144,3.204530,7.283106
2025-10-24,90.799672,167.200328,1.676031,3.086277
2025-10-26,203.000000,155.000000,,
2025-10-27,316.536304,80.438224,3.114965,6.045574
2025-10-28,210.058252,115.941748,2.729591,1.506599
2025-10-29,640.846900,616.647120,4.041196,4.823914
2025-10-30,810.038400,468.612436,3.305885,2.120990
2025-10-31,462.523608,218.505640,2.927446,13.855533
2025-11-01,,,,
2025-11-02,165.171072,94.006236,1.745082,2.464257
2025-11-03,264.025072,486.714340,4.240622,4.127649
2025-11-04,133.965668,1070.899324,10.010107,2.394787
2025-11-05,113.103756,620.863336,3.499122,2.323881
2025-11-06,289.243416,526.050328,2.737762,2.640929
2025-11-07,682.764496,212.434984,1.915768,26.465924
2025-11-09,373.219416,198.676460,2.541858,3.781896
2025-11-10,256.333732,99.294336,2.440466,2.975063
2025-11-11,297.717856,201.304424,4.812382,22.850647
2025-11-12,480.527472,380.654568,3.847355,3.503493
2025-11-13,363.508176,253.338044,4.009670,5.511114
2025-11-14,290.973128,369.775080,3.198332,2.621974
2025-11-15,,,,
2025-11-16,325.640320,343.598652,1.881886,89.477697
2025-11-17,413.073436,488.534424,22.707422,1.871907
2025-11-18,264.964284,736.362492,4.725047,2.421123
2025-11-19,1587.873852,296.889356,2.693519,4.605342
2025-11-20,690.094876,984.438824,7.369682,2.724371
2025-11-21,472.316028,630.502544,3.600637,2.356253
2025-11-23,157.000000,258.634072,,2.552683
2025-11-24,230.934764,128.030144,4.677068,4.481587
2025-11-25,482.225640,264.089964,2.473622,4.493661
2025-11-26,123.068252,130.377248,3.378115,3.300346
2025-11-27,135.671028,47.020288,2.583382,6.037779
2025-11-28,388.369324,178.127756,3.006786,2.274820
2025-11-30,134.000000,479.688860,,1.852277
2025-12-01,161.281648,232.076008,1.479409,1.757366
2025-12-02,222.171852,128.441696,2.482834,30.273946
2025-12-03,122.864540,133.535784,2.050971,2.709001
2025-12-04,379.617520,316.413984,2.808870,2.668998
2025-12-05,92.888268,186.683868,6.635149,7.458390
2025-12-06,,,,
2025-12-07,122.791688,134.126116,2.267999,3.223398
2025-12-08,419.795372,140.989112,2.762599,5.577323
2025-12-09,90.000892,233.475228,14.005096,3.588761
2025-12-10,504.167176,435.726948,2.212398,2.978563
2025-12-11,631.372536,237.384576,3.148886,1.246190
2025-12-12,174.135684,369.267936,7.089968,2.544092
