Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,0,0.0,0.0,0.0,0.0
Down Cross,0,0.0,0.0,0.0,0.0
