event_type,direction,total_events,held_count,failed_count,hold_rate,fail_rate
CROSS,FROM_ABOVE,1911,844,410,0.44165358451072736787,0.21454735740450026164
CROSS,FROM_BELOW,1906,1273,247,0.66789087093389296957,0.12959076600209863589
PIERCE,FROM_ABOVE,461,324,137,0.70281995661605206074,0.29718004338394793926
PIERCE,FROM_BELOW,450,162,288,0.36000000000000000000,0.64000000000000000000
TOUCH,FROM_ABOVE,567,425,141,0.74955908289241622575,0.24867724867724867725
TOUCH,FROM_BELOW,546,208,337,0.38095238095238095238,0.61721611721611721612
