Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,2047,21.75134342940889,136.39999999999964,21.75134342940889,136.39999999999964
Down Cross,2093,19.82608695652174,101.07999999999993,19.82608695652174,101.07999999999993
