Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,878,13.792710706150341,54.0,13.792710706150341,54.0
Down Cross,883,15.328425821064553,70.3599999999999,15.328425821064553,70.3599999999999
