touches_per_day,session_count
0,1
24,1
30,1
31,1
43,1
44,1
45,1
49,1
55,1
58,1
60,1
61,3
63,1
66,1
69,1
71,1
73,1
77,2
80,1
81,1
84,2
87,2
94,2
95,1
96,1
99,1
102,1
113,1
115,1
117,1
126,1
127,1
128,1
132,1
143,1
158,1
166,1
168,1
179,1
185,1
194,1
212,1
225,1
320,1
