touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,350,47.9051724137931034,137.9655172413793103
2,278,56.6700000000000000,120.6300000000000000
3,218,45.0172413793103448,95.7758620689655172
4,180,73.4545454545454545,73.8181818181818182
5,148,21.1875000000000000,94.7500000000000000
6,129,44.1428571428571429,61.2142857142857143
7,118,48.0000000000000000,46.6666666666666667
8,113,32.8333333333333333,51.4166666666666667
9,110,36.6666666666666667,61.7777777777777778
10,105,34.1000000000000000,37.3000000000000000
11,100,9.0000000000000000,23.0000000000000000
12,99,12.1428571428571429,37.7142857142857143
13,96,21.1428571428571429,42.4285714285714286
14,95,26.5000000000000000,23.7500000000000000
15,93,18.1428571428571429,25.1428571428571429
16,93,20.0000000000000000,11.8571428571428571
17,92,34.5000000000000000,22.0000000000000000
18,90,36.2000000000000000,17.2000000000000000
19,88,12.0000000000000000,18.5000000000000000
20,85,16.7500000000000000,22.5000000000000000
21,81,17.6666666666666667,31.1666666666666667
22,80,38.2500000000000000,17.3750000000000000
23,78,45.8571428571428571,13.7142857142857143
24,75,28.2857142857142857,68.5714285714285714
25,71,12.7500000000000000,34.2500000000000000
26,69,17.0000000000000000,33.0000000000000000
27,67,29.2500000000000000,9.5000000000000000
28,66,28.2000000000000000,19.0000000000000000
29,63,19.7500000000000000,24.2500000000000000
30,61,61.6000000000000000,36.6000000000000000
31,60,62.8571428571428571,43.4285714285714286
32,57,48.2000000000000000,33.0000000000000000
33,53,58.5000000000000000,30.1666666666666667
34,50,14.5000000000000000,16.0000000000000000
35,46,47.0000000000000000,48.6666666666666667
36,45,16.6666666666666667,27.0000000000000000
37,42,10.0000000000000000,35.2500000000000000
38,42,24.3333333333333333,35.3333333333333333
39,41,2.0000000000000000,39.7500000000000000
40,38,78.4000000000000000,61.8000000000000000
41,36,25.6000000000000000,41.2000000000000000
42,34,31.0000000000000000,104.6666666666666667
43,32,22.5000000000000000,162.5000000000000000
44,28,47.0000000000000000,75.0000000000000000
45,25,60.5000000000000000,77.0000000000000000
46,22,,
47,21,100.0000000000000000,23.5000000000000000
48,19,27.5000000000000000,17.5000000000000000
49,17,37.5000000000000000,19.0000000000000000
50,15,44.0000000000000000,5.0000000000000000
51,14,78.0000000000000000,44.0000000000000000
52,11,82.0000000000000000,235.0000000000000000
53,11,47.0000000000000000,270.0000000000000000
54,11,,
55,10,,
56,9,14.0000000000000000,440.0000000000000000
57,8,,
58,8,9.5000000000000000,98.5000000000000000
59,7,,
60,7,23.0000000000000000,71.5000000000000000
61,7,14.0000000000000000,54.0000000000000000
62,7,66.0000000000000000,4.0000000000000000
63,7,60.0000000000000000,10.0000000000000000
64,7,7.0000000000000000,87.0000000000000000
65,6,13.0000000000000000,5.0000000000000000
66,6,14.0000000000000000,5.0000000000000000
67,5,,
68,5,,
69,5,,
70,5,69.0000000000000000,49.0000000000000000
71,4,57.0000000000000000,61.0000000000000000
72,3,73.0000000000000000,45.0000000000000000
73,3,,
74,1,,
75,1,,
76,1,,
77,1,,
78,1,,
79,1,34.0000000000000000,25.0000000000000000
80,1,,
81,1,,
82,1,,
83,1,43.0000000000000000,86.0000000000000000
84,1,23.0000000000000000,106.0000000000000000
85,1,,
86,1,,
87,1,45.0000000000000000,13.0000000000000000
88,1,41.0000000000000000,17.0000000000000000
89,1,105.0000000000000000,14.0000000000000000
90,1,103.0000000000000000,16.0000000000000000
91,1,100.0000000000000000,19.0000000000000000
92,1,92.0000000000000000,27.0000000000000000
93,1,,
94,1,,
95,1,,
96,1,17.0000000000000000,5.0000000000000000
97,1,12.0000000000000000,12.0000000000000000
98,1,7.0000000000000000,15.0000000000000000
99,1,7.0000000000000000,14.0000000000000000
100,1,10.0000000000000000,11.0000000000000000
101,1,8.0000000000000000,7.0000000000000000
102,1,5.0000000000000000,9.0000000000000000
103,1,4.0000000000000000,15.0000000000000000
104,1,2.0000000000000000,17.0000000000000000
105,1,14.0000000000000000,13.0000000000000000
106,1,2.0000000000000000,28.0000000000000000
107,1,9.0000000000000000,23.0000000000000000
108,1,11.0000000000000000,20.0000000000000000
