Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,305,41.23606557377049,183.0,41.23606557377049,183.0
Down Cross,295,45.48135593220339,278.6,45.48135593220339,278.6
