touches_per_day,session_count
0,1
1,1
2,1
3,1
7,2
9,3
12,1
17,1
18,1
24,2
25,2
27,1
30,1
31,1
32,1
36,1
40,1
41,1
42,2
43,2
48,2
50,2
51,1
52,1
53,2
54,1
55,1
56,2
59,1
60,2
62,1
63,1
64,1
67,1
71,1
72,1
73,1
76,1
78,2
80,1
81,1
84,1
86,2
94,2
95,1
96,1
97,3
102,2
105,2
109,1
126,1
127,1
129,1
142,1
147,1
