event_type,direction,total_events,held_count,failed_count,hold_rate,fail_rate
CROSS,FROM_ABOVE,1947,955,504,0.49049820236260914227,0.25885978428351309707
CROSS,FROM_BELOW,1966,1242,298,0.63173957273652085453,0.15157680569684638861
PIERCE,FROM_ABOVE,482,295,186,0.61203319502074688797,0.38589211618257261411
PIERCE,FROM_BELOW,427,221,206,0.51756440281030444965,0.48243559718969555035
TOUCH,FROM_ABOVE,604,363,241,0.60099337748344370861,0.39900662251655629139
TOUCH,FROM_BELOW,545,287,258,0.52660550458715596330,0.47339449541284403670
