Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,201,40.15422885572139,147.0,40.15422885572139,147.0
Down Cross,198,43.525252525252526,224.15,43.525252525252526,224.15
