hour,minute,count
0,0,8
0,1,7
0,2,3
0,3,2
0,5,3
0,6,1
0,7,1
0,10,2
0,11,1
0,12,1
0,18,2
0,21,1
0,25,2
0,27,1
0,29,1
0,30,1
0,31,1
0,34,1
0,38,1
0,57,1
1,0,1
1,6,1
1,23,1
2,26,1
12,23,1
12,36,1
13,33,1
16,36,1
16,53,2
18,0,1
18,1,1
