event_type,direction,total_events,held_count,failed_count,hold_rate,fail_rate
CROSS,FROM_ABOVE,1265,628,349,0.49644268774703557312,0.27588932806324110672
CROSS,FROM_BELOW,1277,789,173,0.61785434612372748630,0.13547376664056382146
PIERCE,FROM_ABOVE,367,256,111,0.69754768392370572207,0.30245231607629427793
PIERCE,FROM_BELOW,403,197,206,0.48883374689826302730,0.51116625310173697270
TOUCH,FROM_ABOVE,559,397,162,0.71019677996422182469,0.28980322003577817531
TOUCH,FROM_BELOW,444,249,195,0.56081081081081081081,0.43918918918918918919
