event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,35,0.31428571428571428571,27.0,164.0,110.5,
CROSS,1,moderate,103,0.35922330097087378641,43.0,119.0,140.0,300.0000000000000000
CROSS,1,steep,224,0.32589285714285714286,42.5,183.5,149.79999999999995,300.0000000000000000
CROSS,2,flat,28,0.35714285714285714286,35.0,116.5,118.84999999999998,300.0000000000000000
CROSS,2,moderate,81,0.33333333333333333333,49.0,100.0,94.0,300.0000000000000000
CROSS,2,steep,152,0.28289473684210526316,39.0,165.5,241.94999999999996,300.0000000000000000
CROSS,3,flat,13,0.46153846153846153846,50.0,100.0,111.35,300.0000000000000000
CROSS,3,moderate,70,0.37142857142857142857,47.0,101.0,102.39999999999995,300.0000000000000000
CROSS,3,steep,107,0.41121495327102803738,39.0,152.0,282.4,300.0000000000000000
CROSS,4,flat,13,0.30769230769230769231,58.0,120.0,80.5,300.0000000000000000
CROSS,4,moderate,48,0.29166666666666666667,17.0,99.0,221.39999999999986,300.0000000000000000
CROSS,4,steep,79,0.40506329113924050633,33.0,122.5,155.25,255.0000000000000000
CROSS,5,flat,6,0.33333333333333333333,83.5,239.5,145.15,
CROSS,5,moderate,35,0.37142857142857142857,25.0,87.0,48.599999999999994,300.0000000000000000
CROSS,5,steep,67,0.49253731343283582090,64.0,135.0,132.6,240.0000000000000000
CROSS,6,flat,4,0.25000000000000000000,,,,
CROSS,6,moderate,34,0.38235294117647058824,21.0,117.0,102.69999999999993,180.0000000000000000
CROSS,6,steep,50,0.38000000000000000000,26.0,148.0,126.6,300.0000000000000000
CROSS,7,flat,8,0.50000000000000000000,5.0,70.0,5.0,
CROSS,7,moderate,30,0.40000000000000000000,12.5,54.5,54.5,300.0000000000000000
CROSS,7,steep,48,0.37500000000000000000,51.0,82.5,96.09999999999998,
CROSS,8,flat,8,0.37500000000000000000,,,,
CROSS,8,moderate,21,0.42857142857142857143,27.0,29.0,27.0,300.0000000000000000
CROSS,8,steep,31,0.54838709677419354839,40.0,201.0,40.0,
CROSS,9,flat,8,0.50000000000000000000,,,,
CROSS,9,moderate,19,0.36842105263157894737,,,,
CROSS,9,steep,44,0.36363636363636363636,2.0,35.0,2.0,
CROSS,10,flat,7,0.71428571428571428571,39.0,18.0,39.0,300.0000000000000000
CROSS,10,moderate,16,0.56250000000000000000,5.0,45.0,5.0,
CROSS,10,steep,45,0.51111111111111111111,67.0,76.0,98.5,240.0000000000000000
CROSS,11,flat,6,0.33333333333333333333,34.0,23.0,34.0,120.0000000000000000
CROSS,11,moderate,16,0.43750000000000000000,,,,
CROSS,11,steep,42,0.42857142857142857143,99.0,103.0,99.0,
CROSS,12,flat,3,0.66666666666666666667,,,,
CROSS,12,moderate,18,0.50000000000000000000,,,,
CROSS,12,steep,44,0.45454545454545454545,,,,
