Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,290,81.38620689655173,401.8300000000007,81.38620689655173,401.8300000000007
Down Cross,341,76.86217008797654,510.0,76.86217008797654,510.0
