Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,1246,42.64686998394863,288.9999999999991,42.64686998394863,288.9999999999991
Down Cross,1231,48.57757920389927,331.3000000000004,48.57757920389927,331.3000000000004
