Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,1256,11.294585987261147,46.0,11.294585987261147,46.0
Down Cross,1255,11.045418326693227,59.92000000000007,11.045418326693227,59.92000000000007
