hour,minute,count
0,0,23
0,1,13
0,2,5
0,3,2
0,4,3
0,5,3
0,6,2
0,7,1
0,8,1
0,10,1
0,11,1
0,16,1
0,18,2
0,22,1
0,28,1
0,33,1
0,37,1
0,54,1
4,20,1
10,58,1
15,0,1
16,13,1
16,25,1
16,28,1
16,33,1
16,42,1
16,43,1
16,46,1
16,47,1
16,53,1
18,1,2
