event_type,direction,total_events,held_count,failed_count,hold_rate,fail_rate
CROSS,FROM_ABOVE,1999,1004,599,0.50225112556278139070,0.29964982491245622811
CROSS,FROM_BELOW,2004,1237,328,0.61726546906187624750,0.16367265469061876248
PIERCE,FROM_ABOVE,613,389,223,0.63458401305057096248,0.36378466557911908646
PIERCE,FROM_BELOW,645,397,248,0.61550387596899224806,0.38449612403100775194
TOUCH,FROM_ABOVE,765,489,275,0.63921568627450980392,0.35947712418300653595
TOUCH,FROM_BELOW,763,493,267,0.64613368283093053735,0.34993446920052424640
