hour,minute,count
0,0,14
0,1,9
0,2,5
0,3,4
0,4,1
0,5,2
0,6,1
0,9,1
0,10,1
0,11,2
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,24,2
0,25,1
0,27,2
0,30,1
0,32,1
0,39,1
0,47,1
0,56,1
0,58,1
1,20,1
1,48,1
1,52,1
2,33,1
2,43,1
3,39,1
6,59,1
7,0,1
8,11,1
16,10,1
16,15,1
16,18,1
16,26,1
16,28,1
16,37,1
16,44,1
16,45,1
16,46,1
16,53,1
16,58,1
18,1,1
