Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,474,42.53586497890296,218.07999999999993,42.53586497890296,218.07999999999993
Down Cross,501,46.76047904191617,226.0,46.76047904191617,226.0
