event_type,direction,total_events,held_count,failed_count,hold_rate,fail_rate
CROSS,FROM_ABOVE,1142,820,39,0.71803852889667250438,0.03415061295971978984
CROSS,FROM_BELOW,1140,776,95,0.68070175438596491228,0.08333333333333333333
PIERCE,FROM_ABOVE,576,495,80,0.85937500000000000000,0.13888888888888888889
PIERCE,FROM_BELOW,629,527,102,0.83783783783783783784,0.16216216216216216216
TOUCH,FROM_ABOVE,1173,1050,123,0.89514066496163682864,0.10485933503836317136
TOUCH,FROM_BELOW,1079,943,136,0.87395736793327154773,0.12604263206672845227
