event_type,direction,total_events,held_count,failed_count,hold_rate,fail_rate
CROSS,FROM_ABOVE,1239,894,174,0.72154963680387409201,0.14043583535108958838
CROSS,FROM_BELOW,1255,886,177,0.70597609561752988048,0.14103585657370517928
PIERCE,FROM_ABOVE,309,256,53,0.82847896440129449838,0.17152103559870550162
PIERCE,FROM_BELOW,322,255,67,0.79192546583850931677,0.20807453416149068323
TOUCH,FROM_ABOVE,387,324,62,0.83720930232558139535,0.16020671834625322997
TOUCH,FROM_BELOW,390,310,80,0.79487179487179487179,0.20512820512820512821
