month,session_count,event_count,avg_touches_per_day
2025-05-01 00:00:00-04:00,305,305,130.3639344262295082
2025-06-01 00:00:00-04:00,2097,2097,94.4096328087744397
2025-07-01 00:00:00-04:00,1548,1548,81.1188630490956072
