Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,974,26.8911704312115,129.80999999999995,26.8911704312115,129.80999999999995
Down Cross,997,28.86459378134403,152.1199999999999,28.86459378134403,152.1199999999999
