touches_per_day,session_count
12,1
18,1
24,1
25,1
26,1
29,1
36,1
38,1
39,1
40,1
43,2
48,3
49,2
57,1
58,1
59,1
61,1
62,2
65,3
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
77,1
82,1
84,1
86,1
87,2
91,1
94,1
98,1
100,1
102,1
107,1
109,1
112,3
114,1
117,1
120,1
125,1
130,2
138,1
140,1
159,1
160,1
161,2
207,1
243,1
