Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,1203,19.42310889443059,101.92000000000007,19.42310889443059,101.92000000000007
Down Cross,1199,21.22602168473728,118.01999999999998,21.22602168473728,118.01999999999998
