month,session_count,event_count,avg_touches_per_day
2025-03-01 00:00:00-05:00,347,347,101.4783861671469741
2025-04-01 00:00:00-04:00,1772,1772,94.3374717832957111
2025-05-01 00:00:00-04:00,2022,2021,179.2556874381800198
