hour,minute,avg_reaction_size,event_count
9,31,64.5000000000000000,30
9,32,44.1923076923076923,26
9,33,43.7500000000000000,28
9,34,45.6818181818181818,22
9,35,45.2307692307692308,13
9,36,32.5714285714285714,21
9,37,29.4444444444444444,18
9,38,47.7058823529411765,17
9,39,46.5238095238095238,21
9,40,37.2380952380952381,21
9,41,35.6500000000000000,20
9,42,40.9285714285714286,14
9,43,21.0000000000000000,13
9,44,50.8333333333333333,12
9,45,36.0769230769230769,13
9,46,48.3529411764705882,17
9,47,33.3636363636363636,11
9,48,38.9230769230769231,13
9,49,51.0588235294117647,17
9,50,38.6923076923076923,13
9,51,57.0000000000000000,10
9,52,29.5714285714285714,7
9,53,41.3076923076923077,13
9,54,18.6666666666666667,9
9,55,46.6923076923076923,13
9,56,30.7000000000000000,10
9,57,84.2857142857142857,7
9,58,28.7272727272727273,11
9,59,30.6666666666666667,9
10,0,29.3333333333333333,12
10,1,34.6000000000000000,5
10,2,36.2500000000000000,8
10,3,37.4166666666666667,12
10,4,23.1428571428571429,7
10,5,57.4444444444444444,9
10,6,31.0000000000000000,8
10,7,23.1250000000000000,8
10,8,47.2857142857142857,7
10,9,29.2857142857142857,7
10,10,36.5000000000000000,4
10,11,17.3750000000000000,8
10,12,27.5000000000000000,8
10,13,37.8333333333333333,6
10,14,40.0000000000000000,6
10,15,22.0000000000000000,6
10,16,24.4000000000000000,5
10,17,29.2857142857142857,7
10,18,33.3333333333333333,9
10,19,56.1666666666666667,6
10,20,22.0000000000000000,4
10,21,19.5714285714285714,7
10,22,45.2000000000000000,5
10,23,34.7777777777777778,9
10,24,32.8750000000000000,8
10,25,36.1666666666666667,6
10,26,40.1666666666666667,6
10,27,26.8888888888888889,9
10,28,32.5000000000000000,6
10,29,22.7500000000000000,4
10,30,21.1666666666666667,6
10,31,36.1666666666666667,6
10,32,35.0000000000000000,12
10,33,37.8181818181818182,11
10,34,25.0000000000000000,7
10,35,31.6666666666666667,9
10,36,33.5000000000000000,8
10,37,24.6666666666666667,3
10,38,33.5555555555555556,9
10,39,30.0000000000000000,5
10,40,15.6666666666666667,6
10,41,24.2500000000000000,4
10,42,46.2500000000000000,8
10,43,21.2000000000000000,5
10,44,47.7500000000000000,4
10,45,34.6250000000000000,8
10,46,51.7000000000000000,10
10,47,29.0000000000000000,3
10,48,33.6666666666666667,6
