event_type,direction,total_events,held_count,failed_count,hold_rate,fail_rate
CROSS,FROM_ABOVE,253,179,0,0.70750988142292490119,0E-20
CROSS,FROM_BELOW,255,179,2,0.70196078431372549020,0.00784313725490196078
PIERCE,FROM_ABOVE,112,97,15,0.86607142857142857143,0.13392857142857142857
PIERCE,FROM_BELOW,118,104,14,0.88135593220338983051,0.11864406779661016949
TOUCH,FROM_ABOVE,424,381,43,0.89858490566037735849,0.10141509433962264151
TOUCH,FROM_BELOW,314,293,21,0.93312101910828025478,0.06687898089171974522
