hour,minute,count
0,0,23
0,1,1
0,2,2
0,3,2
0,4,3
0,5,1
0,6,2
0,7,1
0,8,1
0,9,1
0,12,1
0,14,3
0,15,4
0,17,1
0,27,1
0,30,1
0,32,2
0,38,1
0,39,1
0,43,2
1,3,1
1,4,1
1,5,1
1,11,1
1,17,1
1,21,1
1,23,1
1,32,3
1,35,1
1,38,1
1,43,2
1,49,1
2,2,1
2,8,1
2,23,1
2,37,1
2,42,1
2,43,1
2,54,1
2,57,1
3,23,1
3,31,1
3,32,1
3,36,1
3,39,1
4,30,1
7,3,2
8,1,1
9,50,1
12,54,1
13,23,1
13,54,1
14,24,1
14,53,1
15,1,2
15,3,1
15,5,1
15,9,1
15,12,1
15,15,1
15,26,1
16,0,1
16,11,1
16,17,1
16,42,1
18,3,1
21,59,1
