event_type,direction,total_events,held_count,failed_count,hold_rate,fail_rate
CROSS,FROM_ABOVE,1428,921,132,0.64495798319327731092,0.09243697478991596639
CROSS,FROM_BELOW,1429,889,194,0.62211336599020293912,0.13575927221833449965
PIERCE,FROM_ABOVE,520,449,71,0.86346153846153846154,0.13653846153846153846
PIERCE,FROM_BELOW,546,458,88,0.83882783882783882784,0.16117216117216117216
TOUCH,FROM_ABOVE,1022,917,105,0.89726027397260273973,0.10273972602739726027
TOUCH,FROM_BELOW,944,834,110,0.88347457627118644068,0.11652542372881355932
