hour,minute,count
0,1,30
0,2,10
0,3,12
0,5,4
0,6,1
0,10,1
0,32,1
1,14,1
4,1,1
14,40,1
16,20,1
22,0,2
22,1,2
22,2,1
22,3,2
22,4,1
22,8,1
22,18,1
