touches_per_day,session_count
0,1
2,1
6,1
7,4
11,1
13,2
14,1
16,2
17,1
19,1
20,1
21,1
22,1
24,1
25,1
26,2
27,1
31,2
32,1
33,1
34,1
36,2
38,1
40,1
41,2
42,3
45,1
49,2
50,2
51,2
57,3
59,1
61,2
62,1
63,2
67,2
72,1
73,2
78,1
81,1
85,1
88,1
89,1
90,1
91,1
95,1
99,2
102,1
116,2
117,1
122,1
128,1
179,1
