hour,minute,count
0,0,13
0,1,7
0,2,3
0,3,1
0,4,3
0,5,3
0,6,1
0,7,2
0,8,1
0,9,1
0,11,1
0,14,2
0,16,1
0,17,1
0,19,1
0,20,1
0,23,1
0,26,3
0,28,1
0,30,1
0,31,1
0,32,1
0,34,1
0,50,1
0,55,1
1,2,1
1,7,2
1,14,1
1,28,1
1,48,1
1,49,1
3,2,1
3,15,1
3,33,1
10,19,1
13,10,1
14,25,1
16,18,1
16,22,1
16,25,1
16,29,1
16,33,1
16,36,2
16,42,1
16,45,1
16,50,1
16,51,1
18,0,1
