hour,minute,avg_reaction_size,event_count
0,0,7.1428571428571429,7
0,1,8.6000000000000000,10
0,2,5.7142857142857143,7
0,3,11.5454545454545455,11
0,4,7.8125000000000000,16
0,5,9.0909090909090909,11
0,6,5.0769230769230769,13
0,7,6.1818181818181818,11
0,8,5.4285714285714286,7
0,9,8.2222222222222222,9
0,10,8.9090909090909091,11
0,11,6.5555555555555556,9
0,12,5.8750000000000000,8
0,13,4.2857142857142857,7
0,14,5.1250000000000000,8
0,15,6.6000000000000000,10
0,16,8.0000000000000000,10
0,17,9.5714285714285714,7
0,18,9.0000000000000000,6
0,19,4.4000000000000000,5
0,20,8.2857142857142857,7
0,21,6.8888888888888889,9
0,22,6.1111111111111111,9
0,23,5.6250000000000000,8
0,24,9.4545454545454545,11
0,25,6.3000000000000000,10
0,26,9.4444444444444444,9
0,27,4.4285714285714286,7
0,28,2.0000000000000000,3
0,29,1.00000000000000000000,6
0,30,10.8181818181818182,11
0,31,7.5000000000000000,6
0,32,9.6666666666666667,6
0,33,6.1250000000000000,8
0,34,7.8750000000000000,8
0,35,8.6363636363636364,11
0,36,7.3333333333333333,6
0,37,6.5000000000000000,8
0,38,10.0000000000000000,4
0,39,6.8750000000000000,8
0,40,8.7500000000000000,8
0,41,9.0000000000000000,2
0,42,5.2000000000000000,5
0,43,4.5000000000000000,4
0,44,8.7500000000000000,4
0,45,6.3333333333333333,6
0,46,15.0000000000000000,6
0,47,13.0000000000000000,5
0,48,8.8000000000000000,5
0,49,6.5000000000000000,4
0,50,8.1428571428571429,7
0,51,9.6666666666666667,3
0,52,23.5000000000000000,2
0,53,12.3333333333333333,6
0,54,5.3333333333333333,3
0,55,22.5000000000000000,2
0,56,6.7500000000000000,4
0,57,10.7500000000000000,4
0,58,8.0000000000000000,3
0,59,6.2500000000000000,4
1,0,11.1428571428571429,7
1,1,7.0000000000000000,4
1,2,14.6666666666666667,3
1,3,7.8333333333333333,6
1,4,3.4000000000000000,5
1,5,5.2500000000000000,4
1,6,7.1666666666666667,6
1,7,7.8333333333333333,6
1,8,8.5000000000000000,4
1,9,6.0000000000000000,5
1,10,6.1666666666666667,6
1,11,13.0000000000000000,8
1,12,5.3333333333333333,3
1,13,16.4000000000000000,5
1,14,11.0000000000000000,7
1,15,9.2500000000000000,8
1,16,18.5000000000000000,4
1,17,2.4000000000000000,5
1,18,8.7500000000000000,4
1,19,3.0000000000000000,2
1,20,25.0000000000000000,1
1,21,17.0000000000000000,2
1,22,18.5000000000000000,2
1,23,5.3333333333333333,3
1,24,16.0000000000000000,4
1,25,12.0000000000000000,2
1,26,9.0000000000000000,1
1,27,6.0000000000000000,5
1,28,17.0000000000000000,4
1,29,17.4000000000000000,5
1,30,12.5000000000000000,2
1,31,7.0000000000000000,3
1,33,14.0000000000000000,1
1,34,16.5000000000000000,2
1,35,9.3333333333333333,3
1,36,6.5000000000000000,2
1,37,3.6666666666666667,3
1,38,15.3333333333333333,3
1,39,9.5000000000000000,2
1,40,9.0000000000000000,6
1,41,11.7500000000000000,4
1,42,16.2500000000000000,4
1,43,20.3333333333333333,3
1,44,12.0000000000000000,3
1,45,22.0000000000000000,1
1,46,16.0000000000000000,2
1,47,1.00000000000000000000,1
1,48,21.0000000000000000,3
1,49,13.0000000000000000,2
1,50,6.6666666666666667,3
1,51,7.5000000000000000,2
1,52,3.6666666666666667,3
1,53,13.5000000000000000,2
1,54,9.7500000000000000,4
1,55,7.7500000000000000,4
1,56,7.0000000000000000,2
1,57,12.0000000000000000,1
1,58,11.3333333333333333,3
1,59,8.3333333333333333,3
2,0,5.3333333333333333,3
2,1,10.5000000000000000,4
2,2,7.5000000000000000,6
2,3,7.6666666666666667,3
2,4,7.3333333333333333,3
2,5,10.0000000000000000,3
2,6,14.4285714285714286,7
2,7,10.0000000000000000,5
2,8,13.5000000000000000,6
2,9,13.6000000000000000,5
2,10,16.2500000000000000,4
2,11,10.8000000000000000,5
2,12,12.0000000000000000,3
2,13,12.0000000000000000,5
2,14,12.1666666666666667,6
2,15,8.2857142857142857,7
2,16,11.5000000000000000,8
2,17,9.8888888888888889,9
2,18,11.0000000000000000,4
2,19,15.2000000000000000,5
2,20,14.8571428571428571,7
2,21,12.0000000000000000,5
2,22,12.5000000000000000,4
2,23,3.8000000000000000,5
2,24,10.2500000000000000,4
2,25,9.6000000000000000,5
2,26,11.6000000000000000,5
2,27,1.00000000000000000000,1
2,28,9.6000000000000000,5
2,29,11.0000000000000000,5
2,30,10.0000000000000000,5
2,31,7.6000000000000000,5
2,32,14.0000000000000000,3
2,33,8.6250000000000000,8
2,34,8.0000000000000000,4
2,35,12.6000000000000000,5
2,36,7.6666666666666667,3
2,37,28.3333333333333333,3
2,38,9.0000000000000000,3
2,39,21.6666666666666667,3
2,40,12.5000000000000000,2
2,41,14.0000000000000000,2
2,42,11.3333333333333333,3
2,43,12.3333333333333333,3
2,44,7.6666666666666667,3
2,45,30.0000000000000000,2
2,46,16.1428571428571429,7
2,47,11.0000000000000000,6
2,48,6.6666666666666667,3
2,49,12.6666666666666667,3
2,50,13.0000000000000000,2
2,51,10.0000000000000000,2
2,52,4.3333333333333333,3
2,53,12.6000000000000000,5
2,54,16.6666666666666667,3
2,55,23.0000000000000000,3
2,56,20.0000000000000000,2
2,57,7.5000000000000000,2
2,58,14.5000000000000000,2
2,59,14.0000000000000000,2
3,0,18.2000000000000000,5
3,1,19.3333333333333333,3
3,2,7.0000000000000000,4
3,3,9.0000000000000000,4
3,4,13.5000000000000000,4
3,5,3.0000000000000000,2
3,6,8.3333333333333333,3
3,7,20.0000000000000000,3
3,8,18.2500000000000000,4
3,9,11.0000000000000000,5
3,10,11.0000000000000000,6
3,11,12.4000000000000000,5
3,12,15.8000000000000000,5
3,13,5.0000000000000000,2
3,14,13.3333333333333333,6
3,15,17.6000000000000000,5
3,16,15.6666666666666667,3
3,17,12.3333333333333333,6
3,18,13.5000000000000000,4
3,19,11.5000000000000000,2
3,20,17.5000000000000000,2
3,21,8.7500000000000000,4
3,22,7.0000000000000000,2
3,23,4.3333333333333333,3
3,24,8.0000000000000000,2
3,25,9.0000000000000000,4
3,26,7.0000000000000000,6
3,27,12.2500000000000000,4
3,28,11.5000000000000000,4
3,29,17.3333333333333333,3
3,30,11.7500000000000000,4
3,31,12.0000000000000000,2
3,32,13.0000000000000000,5
3,33,10.4000000000000000,5
3,34,12.5000000000000000,4
3,35,6.0000000000000000,3
3,36,15.6000000000000000,5
3,37,13.7500000000000000,4
3,38,8.6666666666666667,6
3,39,11.3333333333333333,3
3,40,14.1666666666666667,6
3,41,12.6666666666666667,3
3,42,13.3333333333333333,3
3,43,9.0000000000000000,3
3,44,23.0000000000000000,2
3,45,21.3333333333333333,3
3,46,14.5000000000000000,4
3,47,6.8000000000000000,5
3,48,11.5000000000000000,6
3,49,15.5000000000000000,2
3,50,4.3333333333333333,3
3,51,8.2000000000000000,5
3,52,5.6666666666666667,3
3,53,10.0000000000000000,2
3,55,14.0000000000000000,1
3,56,10.0000000000000000,3
3,57,11.0000000000000000,3
3,58,11.2000000000000000,5
3,59,12.5000000000000000,4
4,1,7.0000000000000000,3
4,2,24.0000000000000000,2
4,3,18.3333333333333333,3
4,4,71.0000000000000000,5
4,5,13.0000000000000000,4
4,6,103.6666666666666667,3
4,7,9.5000000000000000,4
4,8,12.0000000000000000,3
4,9,13.5000000000000000,4
4,10,11.7500000000000000,4
4,11,18.4000000000000000,5
4,12,13.8571428571428571,7
4,13,13.4000000000000000,5
4,14,8.0000000000000000,4
4,15,5.6666666666666667,3
4,16,8.2000000000000000,5
4,17,9.4000000000000000,5
4,18,11.0000000000000000,3
4,19,8.2500000000000000,4
4,20,15.2000000000000000,5
4,21,14.8000000000000000,5
4,22,5.8333333333333333,6
4,23,7.0000000000000000,5
4,24,8.3333333333333333,3
4,25,7.2500000000000000,4
4,26,5.5000000000000000,4
4,27,12.5000000000000000,2
4,28,8.2500000000000000,4
4,29,3.3333333333333333,3
4,30,5.3333333333333333,3
4,31,7.8000000000000000,5
4,32,11.6666666666666667,3
4,33,16.3333333333333333,3
4,34,9.3333333333333333,3
4,35,6.0000000000000000,3
4,36,6.0000000000000000,1
4,37,5.6666666666666667,3
4,38,10.2000000000000000,5
4,39,9.0000000000000000,5
4,40,7.6000000000000000,5
4,41,7.3333333333333333,6
4,42,14.2500000000000000,4
4,43,6.3333333333333333,3
4,44,8.0000000000000000,4
4,45,6.0000000000000000,4
4,46,11.0000000000000000,2
4,47,15.3333333333333333,3
4,48,8.8000000000000000,5
4,49,4.0000000000000000,1
4,50,14.0000000000000000,1
4,51,10.6666666666666667,3
4,52,6.6666666666666667,3
4,53,8.6666666666666667,3
4,54,12.6666666666666667,3
4,55,13.0000000000000000,2
4,56,8.3333333333333333,3
4,57,5.0000000000000000,4
4,58,9.2000000000000000,5
4,59,9.0000000000000000,5
5,0,4.3333333333333333,6
5,1,7.8750000000000000,8
5,2,10.2000000000000000,5
5,3,8.3750000000000000,8
5,4,9.2000000000000000,5
5,5,10.2500000000000000,4
5,6,14.0000000000000000,2
5,7,16.0000000000000000,2
5,8,22.0000000000000000,3
5,9,13.0000000000000000,4
5,10,9.0000000000000000,2
5,11,12.5000000000000000,2
5,12,10.7500000000000000,4
5,13,13.2500000000000000,4
5,14,48.0000000000000000,1
5,15,13.0000000000000000,5
5,16,20.2000000000000000,5
5,17,19.3333333333333333,3
5,18,29.0000000000000000,1
5,19,10.0000000000000000,1
5,20,22.0000000000000000,1
5,21,3.0000000000000000,1
5,22,5.6666666666666667,3
5,23,10.2500000000000000,4
5,24,14.6666666666666667,6
5,25,9.5000000000000000,4
5,26,10.3750000000000000,8
5,27,13.5000000000000000,6
