Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,2522,7.992862807295797,36.789999999999964,7.992862807295797,36.789999999999964
Down Cross,2487,7.717330116606353,38.0,7.717330116606353,38.0
