touches_per_day,session_count
0,2
2,1
26,1
31,1
45,1
46,1
48,1
52,1
54,1
55,1
56,1
59,1
65,1
66,1
69,1
72,1
74,2
76,1
80,1
82,1
83,1
84,1
85,1
87,2
90,1
92,1
95,1
97,1
99,1
101,2
107,1
121,1
123,1
128,1
130,1
142,1
146,1
156,1
161,1
163,1
166,1
168,1
180,2
182,1
214,1
221,1
460,1
