Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,300,52.86333333333334,235.7599999999993,52.86333333333334,235.7599999999993
Down Cross,311,64.68810289389067,287.9999999999991,64.68810289389067,287.9999999999991
