Cross Type,Total VWAP Touches,Avg Extension (ticks),Max Extension (ticks),Avg. Performance (ticks),Max Performance (ticks)
Up Cross,5271,9.05179282868526,37.0,9.05179282868526,37.0
Down Cross,5489,9.269447986882856,43.0,9.269447986882856,43.0
