event_type,direction,total_events,held_count,failed_count,hold_rate,fail_rate
CROSS,FROM_ABOVE,2198,1514,85,0.68880800727934485896,0.03867151956323930846
CROSS,FROM_BELOW,2208,1490,176,0.67481884057971014493,0.07971014492753623188
PIERCE,FROM_ABOVE,1166,974,192,0.83533447684391080617,0.16466552315608919383
PIERCE,FROM_BELOW,1065,905,159,0.84976525821596244131,0.14929577464788732394
TOUCH,FROM_ABOVE,2125,1903,217,0.89552941176470588235,0.10211764705882352941
TOUCH,FROM_BELOW,1998,1765,233,0.88338338338338338338,0.11661661661661661662
